"Reference","Value","Footprint","Qty","DNP","Ref mouser","Description"
"C1,C2,C3,C5,C6,C7,C11,C12","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8","","https://www.mouser.fr/ProductDetail/KEMET/C0805C104K6RACTU?qs=NrXEK%2Fuukt5je6JkV2NA6Q%3D%3D","Unpolarized capacitor"
"C4,C13,C14","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","https://www.mouser.fr/ProductDetail/Murata-Electronics/GRM21BZ7YA475KE15L?qs=Ey7%2FXF42M3dwsQijVSe80A%3D%3D","Unpolarized capacitor"
"C8","0.047u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/KYOCERA-AVX/08053C473KAT4A?qs=OgzxwkGQ6NJ%2FkRAYg4QbYg%3D%3D","Unpolarized capacitor"
"C9","220u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","","None: in Stock","Polarized capacitor"
"C10","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/Murata-Electronics/GRM21BZ71E106KE15K?qs=Ey7%2FXF42M3ceEkXCU194qQ%3D%3D","Unpolarized capacitor"
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/Wurth-Elektronik/150080SS75000?qs=LlUlMxKIyB2zzpiaOzrUdw%3D%3D","Light emitting diode"
"J1","Screw_Terminal_01x05","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","1","","https://www.mouser.fr/ProductDetail/Wurth-Elektronik/691210910005?qs=sPbYRqrBIVmsC84njkCQMg%3D%3D","Generic screw terminal, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2,J3,J4","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","3","","https://www.mouser.fr/ProductDetail/Wurth-Elektronik/691210910002?qs=sPbYRqrBIVlpmUgpxfjjUA%3D%3D","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J5","Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","1","","https://www.mouser.fr/ProductDetail/Wurth-Elektronik/691210910004?qs=sPbYRqrBIVlxffWXw70IkA%3D%3D","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Q1,Q2","2STR1160","Package_TO_SOT_SMD:TSOT-23","2","","None: in Stock","NPN transistor, base/emitter/collector"
"R1,R10","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805DRD07100RL?qs=%2Ff7pOCXLR5eK3aDJ3OLj3w%3D%3D","Resistor, US symbol"
"R2,R12","220","-- valeurs mixtées --","2","","-- valeurs mixtées --","Resistor, US symbol"
"R3,R9","22k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805FRE1322KL?qs=1mbolxNpo8eWV%252BfmE3nyzw%3D%3D","Resistor, US symbol"
"R4,R5,R6,R8,R11","4.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5","","https://www.mouser.fr/ProductDetail/YAGEO/RC0805FR-074K7L?qs=VLOqbHBAO5cYXbrd7RTmuQ%3D%3D","Resistor, US symbol"
"R7","1Meg","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805FRE101ML?qs=F5EMLAvA7ICcBycWGMkoRg%3D%3D","Resistor, US symbol"
"R13","9.1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805FRE079K1L?qs=yNCrj0CQcyLO9GcBQGw%2FWw%3D%3D","Resistor, US symbol"
"R14,R16","1.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805FRE071K2L?qs=Of9BA0M78V%2FOQKObZjZlOg%3D%3D","Resistor, US symbol"
"R15","10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","https://www.mouser.fr/ProductDetail/YAGEO/RT0805FRE1310RL?qs=1mbolxNpo8cxANW8i7GXPg%3D%3D","Resistor, US symbol"
"SW1,SW2,SW3,SW4,SW6","SW_Omron_B3FS","Button_Switch_SMD:SW_SPST_Omron_B3FS-101xP","5","","https://www.mouser.fr/ProductDetail/Omron-Electronics/B3FS-1012P?qs=1tDaWCEHQQ7mwfTJVAKWQA%3D%3D","Omron B3FS 6x6mm single pole normally-open tactile switch"
"U1","CO StartClock","Nucleo_64:ST_Morpho_Connector_64_NOHOLES_TOP","1","","None: in Stock","Nucleo 64 Development Board with STM32L152RE"
"U2","LM78M05_TO252","Package_TO_SOT_SMD:TO-252-2","1","","https://www.mouser.fr/ProductDetail/STMicroelectronics/L7805CDT-TR?qs=gq%2F78KzUDX67VndS%2FbSB4Q%3D%3D","Positive 500mA 35V Linear Regulator, Fixed Output 5V, TO-252 (D-PAK)"
"U3","LM386","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.mouser.fr/ProductDetail/Texas-Instruments/LM386MX-1-NOPB?qs=QbsRYf82W3FIdJRa%252BlgeNQ%3D%3D","Low Voltage Audio Power Amplifier, DIP-8/SOIC-8/SSOP-8"
